id,证券代码,证券简称,所属行业名称,无形资产,研发支出合计,研发支出总额占营业收入比例,净利润,研发人员数量,政府补助,资产负债率,总资产,流动比率,营业收入,净利润.1,销售净利率,流动资产周转率,研发人员数量占比,技术人员人数,新增专利数,新增发明专利数,新增新型专利,新增外观专利,classify
14781,000823.SZ,超声电子,信息技术,0.0008719505070340589,0.014370314750068216,0.04988703100933199,0.49945539666768496,0.03503668841906591,0.016206392815525272,0.04478577630362325,0.020437920483819514,0.04911676633552511,0.005586478680734479,0.023437636567158273,0.8401299957527224,0.1370464684504084,0.00777196417544811,0.0326897728172147,0.021479727410451392,0.009460329249066228,0.018496343617389496,0.0,2
14782,000823.SZ,超声电子,信息技术,0.0006206745597873496,0.01294521956548415,0.04411979223086322,0.49917265918834725,0.034535976168205994,0.0072164375887953875,0.05088251090973578,0.02155182740382422,0.046572941768500624,0.006480816862537002,0.023439385789503442,0.8402577719303185,0.10468732500768478,0.007578039794797351,0.031858573801812944,0.06350294230615795,0.028196891830651914,0.05479247284037956,0.0,2
14783,000823.SZ,超声电子,信息技术,0.0006387864279093651,0.010255329837456091,0.039779182854734176,0.49837311402855217,0.02786711202432687,0.009349611518451288,0.05042451248021026,0.021849612874106895,0.047267157055400875,0.006972182013055028,0.02342800214045011,0.8401322375375804,0.1214198004148588,0.0061551306202161605,0.03388245246839155,0.09761079662642233,0.01885902725131577,0.10757988719981464,0.0,2
14784,000823.SZ,超声电子,信息技术,0.0004446145598121124,0.008005715394568737,0.038106234144729134,0.49829777221274796,0.025781252842262545,0.005312764950056666,0.04708327093928218,0.02058248790812871,0.050964007357280475,0.005515249578222379,0.02345770808282353,0.8402476847487902,0.10375202835198427,0.006095812271478506,0.03479759130224001,0.04264433740849372,0.01885902725131577,0.036758550010117894,0.0,2
14785,000823.SZ,超声电子,信息技术,0.0004578120341956614,0.007752222654777888,0.03587261387987635,0.49730373611039513,0.020733960148286396,0.0053600649778966745,0.050473590695638684,0.01937212280848314,0.044951805826795754,0.0051915402322916014,0.02341381686742788,0.8398856203173709,0.12049529218656048,0.004865755171815889,0.03887672469820974,0.06350294230615795,0.01885902725131577,0.0,0.06711419585853703,2
14796,000836.SZ,富通鑫茂,信息技术,0.0006568582954403909,0.003552548549727402,0.05220958859313855,0.49663919096158426,0.007746424625560363,0.007641686116642883,0.07013356787663408,0.020279991818277453,0.03705170050202649,0.003688874439032963,0.02341035594029557,0.8401109404407827,0.07636125065368696,0.01230559070751674,0.00324379836050033,0.10433665981473553,0.028196891830651914,0.10757988719981464,0.0,2
14797,000836.SZ,富通鑫茂,信息技术,0.0007885652509189413,0.005717644180096747,0.0360961315874873,0.49717903551670567,0.006762159926064732,0.0049490885892487175,0.07264885653615372,0.023510749801047587,0.03495323461802879,0.007362649559177685,0.023419563423064692,0.8399640940058288,0.04844035505775318,0.008084343081097293,0.0034612419976288323,0.08406426478847456,0.06495544184076983,0.045803689613124754,0.0,2
14798,000836.SZ,富通鑫茂,信息技术,0.0006561664890168794,0.005150380650589602,0.042006767703824194,0.49743937781343267,0.00832937588369341,0.01397664785152553,0.03597220331861327,0.020515766281629374,0.07294835719279803,0.006283768299182209,0.023453256500979493,0.8402566511358537,0.058129411226186936,0.010607821846881053,0.0030480710620549426,0.03562390973072122,0.0,0.045803689613124754,0.0,2
14799,000836.SZ,富通鑫茂,信息技术,0.0007222672534468958,0.004947123461425266,0.04456424542011101,0.49690057818798505,0.00789218452474086,0.0042937443386387285,0.041200948693309494,0.01510104098372622,0.06382888914812644,0.00657420620273784,0.023412426347850353,0.8399753041843118,0.07540740265802257,0.01048954832517542,0.005112743482482343,0.03562390973072122,0.009460329249066228,0.036758550010117894,0.0,2
14800,000836.SZ,富通鑫茂,信息技术,0.0006680042572615882,0.004372567523743806,0.045563764752497155,0.497403625069373,0.006251535964914275,0.004754979839039837,0.07144013048374993,0.030430046925398104,0.04379273527285541,0.00908036189028493,0.023485332864586306,0.8404382084850502,0.06967103310887796,0.008100498771116899,0.004960710523820747,0.021479727410451392,0.0,0.0,0.02914634565951651,2
14806,000938.SZ,紫光股份,信息技术,0.02826324484593316,0.2437619772687074,0.0810928988471429,0.5236089202128594,0.22390425545622608,0.2251689574945181,0.05822332400236684,0.022311725317564236,0.03961235392937032,0.005791029111563757,0.02342983336976965,0.8401983686238086,0.17583335395449134,0.02450710691362846,0.17452366423287047,0.070389327891398,0.046693235448041576,0.036758550010117894,0.009781020792585396,2
14807,000938.SZ,紫光股份,信息技术,0.02880895161128585,0.20813285829580272,0.07675363686201404,0.5223600037042939,0.20718101040722775,0.1598338343772074,0.06010958274972428,0.023171127358670083,0.03705170050202649,0.007027969561731381,0.02343069773653258,0.8401894018745096,0.11679132342314164,0.024251517623956238,0.14970844062098843,0.04264433740849372,0.028196891830651914,0.02765634290286528,0.0,2
14808,000938.SZ,紫光股份,信息技术,0.02936151080489518,0.19209736365611366,0.08671449772674476,0.5196857237613611,0.2006602359283101,0.22780165543259082,0.051847103322585956,0.02335759663641025,0.03775051138558005,0.008015848731281056,0.023467916263153504,0.8402633758895808,0.12695444290953006,0.02534810196945108,0.12253823945551835,0.014355292977070054,0.01885902725131577,0.0,0.0,2
14809,000938.SZ,紫光股份,信息技术,0.029518735500383683,0.11545293771975595,0.07196532577569517,0.5069048216867899,0.14432535520123718,0.014881018287256171,0.043405521261729176,0.12527292766943507,0.04007743937533512,0.011797221224450838,0.02359391711382107,0.8399921192887136,0.10468732500768478,0.021079510184950682,0.011116079990120079,0.04264433740849372,0.028196891830651914,0.02765634290286528,0.0,2
14810,000938.SZ,紫光股份,信息技术,0.0007546419893933662,0.004522136550437455,0.005717727208607345,0.49802658876004546,0.014145969539312754,0.005064193329130146,0.09226525448738496,0.027745978807622935,0.026528714090018952,0.006808222444861247,0.023432788613675693,0.8396793262633759,0.09906642812772103,0.013062495314660286,0.007478049079832389,0.02856915219677092,0.01885902725131577,0.0,0.019496175625797196,2
14811,000948.SZ,南天信息,信息技术,0.0011769008928307772,0.021631544181989162,0.10802785169915083,0.4969561518766201,0.15133612745977196,0.00340861499581327,0.07528841444981386,0.024708778602209713,0.038914444519216204,0.0068828035864637645,0.023431035966864088,0.8391589754508908,0.11121747859854976,0.03932285244752585,0.07786944194807639,0.014355292977070054,0.0,0.00927781358801065,0.009781020792585396,2
14812,000948.SZ,南天信息,信息技术,0.0010243181113507268,0.019512729866179537,0.11545077530446902,0.49709371743507336,0.1286935479258151,0.00921535973702406,0.06903578611068581,0.02265821253786686,0.04240062029746342,0.006823025115518173,0.023546989633610668,0.8399069207405845,0.0687127500840143,0.037809595749042406,0.06798573063049677,0.056583528366367514,0.009460329249066228,0.045803689613124754,0.019496175625797196,2
14813,000948.SZ,南天信息,信息技术,0.00044118463700115306,0.01604964893239196,0.11386336083194781,0.49640187452869805,0.11261944215193721,0.007639570106951879,0.07660638461002371,0.02135623335405778,0.034019602460618255,0.00609865481454381,0.023425942004687204,0.8396142926746384,0.09248091601696383,0.03734528252556991,0.06290361308371581,0.04963076772460043,0.009460329249066228,0.018496343617389496,0.03873239448871455,2
14814,000948.SZ,南天信息,信息技术,0.0003810886453756201,0.014547489184108323,0.11089550575952711,0.49640677779115594,0.09523284568158118,0.006697299241692455,0.07216548763251776,0.020222154460953847,0.036585638459243314,0.00573462395009152,0.023432016492730613,0.839625505571503,0.09812747915810603,0.03405387523443897,0.0540085892596866,0.08406426478847456,0.028196891830651914,0.036758550010117894,0.04825516860722115,2
14815,000948.SZ,南天信息,信息技术,0.00042440121744190224,0.012284591143883911,0.09489147711606569,0.49637995203867846,0.0820020762294061,0.006556482494136156,0.07284215876052093,0.020090899548712137,0.041704058744917345,0.006644813641864315,0.02346108007005819,0.8396109287885849,0.09624774593988322,0.03221206231308704,0.04552305231499171,0.056583528366367514,0.0,0.02765634290286528,0.04825516860722115,2
14816,000971.SZ,*ST高升,信息技术,0.0007863343128250408,0.0027536417714381406,0.055741549756529014,0.4905040841150309,0.008292948330234265,0.0034504795525362067,0.0659963880134308,0.016455513552782713,0.047961038451168295,0.005715821739528354,0.023401408055655888,0.839697266047828,0.05909474752241737,0.013566877860964818,0.0055687462535883815,0.0,0.0,0.0,0.0,2
14817,000971.SZ,*ST高升,信息技术,0.0008610990357537776,0.0020397699810138312,0.03799463522447321,0.4751529739840628,0.006725692778940057,0.004176217255611172,0.06796949260989969,0.016843546419903755,0.045183508234888675,0.005895857089149416,0.02291389508631416,0.8119130973128069,0.0715856917056141,0.011016328515336571,0.007174465327191237,0.0,0.0,0.0,0.0,2
14818,000971.SZ,*ST高升,信息技术,0.0006510342144067224,0.002743971857812887,0.05276202782672747,0.49761486244675684,0.007819306415971589,0.003050801758308318,0.008378651736635533,0.020644758642298703,0.09616904586809454,0.007410454650063055,0.023440649874643643,0.8415315522548161,0.08302058676789764,0.02254643087860949,0.005590457076545533,0.0,0.0,0.0,0.0,2
14821,000977.SZ,浪潮信息,信息技术,0.005556807200032424,0.1434977719475503,0.04877973565918146,0.5047763159409683,0.07603621815761973,0.049034532652171135,0.09471055473047664,0.01883336182292001,0.03705170050202649,0.006391407988565215,0.023442351263164837,0.8396501736378457,0.19264507794239583,0.020951417220957166,0.038940369733000364,0.2630344058337938,0.3370349872775706,0.0,0.0,2
14822,000977.SZ,浪潮信息,信息技术,0.006589382517177749,0.12226856828096835,0.045452741239349205,0.5020541727834558,0.06497594976522134,0.017481117397002335,0.10241625459637894,0.02965010366423518,0.03355255971102643,0.01046952976254856,0.023445039999568155,0.8396647500242471,0.05522952072039225,0.02098344152819246,0.03190121104387379,0.007195501404203765,0.009460329249066228,0.0,0.0,2
14823,000977.SZ,浪潮信息,信息技术,0.006477553380111142,0.07067235384580783,0.04756072837002003,0.5000190655347827,0.05333600268412523,0.01844235519038275,0.09553530538371638,0.04148934966687196,0.035186548282463474,0.011436895658850102,0.023443745170337465,0.8396961448178352,0.06487324005763824,0.021538416602086954,0.03724220719938882,0.0,0.0,0.0,0.0,2
14824,000977.SZ,浪潮信息,信息技术,0.004941241478447953,0.050372781820271134,0.06727043483040139,0.49875426837763315,0.06217126361856705,0.02050245449132783,0.09110466906717156,0.023659448186812104,0.034019602460618255,0.007113354489140261,0.023414278095984405,0.8397600535367166,0.03378365899322957,0.023649639004284566,0.028144301762582893,0.0,0.0,0.0,0.0,2
14825,000977.SZ,浪潮信息,信息技术,0.004120973283656239,0.03493856876462911,0.05816476691651493,0.5002220380043239,0.04710832875398079,0.0219046311290624,0.10246359565336173,0.0270597896156161,0.02887379757270376,0.007876471289938047,0.023437687813936826,0.840004450240716,0.025905441240448173,0.02166112265200727,0.020751398950568264,0.007195501404203765,0.009460329249066228,0.0,0.0,2
14826,000988.SZ,华工科技,信息技术,0.002239610598738655,0.022278347503137213,0.0682543514652117,0.5006566987775916,0.06069661779250458,0.03017658251052675,0.051700003786746725,0.020618071513912303,0.058558973665486395,0.005292422238096061,0.02345656700329177,0.8409670601646606,0.0782670567972631,0.013464942415548567,0.03522303956273674,0.0,0.0,0.0,0.0,2
14827,000988.SZ,华工科技,信息技术,0.002007345074802198,0.01996351109680413,0.06387624313332123,0.49863594430246394,0.05883360146083111,0.02696179875148873,0.05465546042701022,0.020580263903626054,0.05211733305695447,0.006637980814908646,0.023421415162038096,0.8400885221045047,0.04649471074278368,0.012531093183636067,0.03260454367241524,0.0,0.0,0.0,0.0,2
14828,000988.SZ,华工科技,信息技术,0.0021628701047168575,0.01412689777739323,0.05287249029306443,0.4990874862559763,0.05450070462619673,0.03833198213869704,0.06136030782508614,0.03194012606817397,0.0481922581072269,0.007686441166408736,0.023438675168181388,0.8403115690406844,0.0425955325831007,0.01185985118072806,0.027374636340178546,0.0,0.0,0.0,0.0,2
14829,000988.SZ,华工科技,信息技术,0.0019428727822094895,0.010735413623418564,0.05430773322999749,0.49834330082526096,0.04583116786124819,0.034702719841396244,0.06745221799838548,0.022662654141495223,0.04054237493878201,0.007190765788923558,0.023446420238418555,0.840313810543416,0.0455209037257977,0.012187456294359853,0.02369166789747999,0.007195501404203765,0.0,0.00927781358801065,0.0,2
14830,000988.SZ,华工科技,信息技术,0.0021257579734098183,0.009935997623861841,0.06332804422833667,0.4975629897613512,0.03971352280281812,0.0292319258062101,0.06429606085365464,0.021569607366216013,0.04007743937533512,0.006325913896109985,0.023423157571078584,0.8401546551945709,0.058129411226186936,0.011725565294995395,0.022533445154035662,0.0,0.0,0.0,0.0,2
14831,000997.SZ,新大陆,信息技术,0.001365686891251861,0.04056727859157679,0.10898436986509696,0.5026946503549178,0.12406156042716356,0.019920099607174772,0.0803447907336403,0.020911602778301844,0.03355255971102643,0.005739182024840418,0.023437677564581073,0.8414576432384292,0.07636125065368696,0.030442131205809846,0.07551344734556364,0.12432813500220177,0.16146342269411632,0.0,0.0,1
14832,000997.SZ,新大陆,信息技术,0.0015364148010004609,0.03219349119917696,0.09306643570773902,0.5016458193809755,0.10490656655471135,0.013369770160284887,0.08165815183853059,0.026495098912884665,0.03378609998525386,0.006741608547303887,0.023423082408379373,0.8406880926541096,0.07254206896363327,0.029646544852503252,0.06831835961136697,0.13750352374993502,0.15295192283859893,0.018496343617389496,0.009781020792585396,1
14833,000997.SZ,新大陆,信息技术,0.0012995558005393538,0.026441976864885267,0.09059358150910043,0.5023029364407355,0.09207400906899925,0.011963048352481069,0.06821190125381851,0.028208419009252163,0.04054237493878201,0.007789424669510536,0.023440308230120138,0.841076839815155,0.0687127500840143,0.027878773459531866,0.05390361483276383,0.12432813500220177,0.1271119179033392,0.036758550010117894,0.0,1
14834,000997.SZ,新大陆,信息技术,0.0013788644089758576,0.015200416707809349,0.07152923568217927,0.5005751016835635,0.060520964274105075,0.01401076346669352,0.09628034764179375,0.026574833353852294,0.03121507533563382,0.006614065665714825,0.023437643400062103,0.8410465952349325,0.06967103310887796,0.02062045774796618,0.047633304923179735,0.24488705912353448,0.1271119179033392,0.1750867065580911,0.02914634565951651,1
14835,000997.SZ,新大陆,信息技术,0.0002506332626207052,0.011939725227505317,0.0654100928048735,0.49952135730910807,0.05365374193018196,0.009608161057350573,0.0836259544227752,0.026574833353852294,0.03775051138558005,0.007744476972774142,0.023434196195928274,0.8408673550802858,0.06487324005763824,0.020486984865256793,0.04571310150062092,0.269033146455237,0.19501598240514295,0.00927781358801065,0.16664986940945128,1
14836,002005.SZ,*ST德豪,信息技术,0.0037296570173478392,0.008654304165646063,0.04866895936697139,0.49851387711780953,0.02322376124450538,0.038906719911938274,0.10298424477729394,0.00978467910043895,0.01521894492350473,0.004432134014983743,0.023177706569640317,0.8386631218401794,0.10468732500768478,0.004811781283750145,0.017439109400050598,0.0,0.0,0.0,0.0,2
14837,002005.SZ,*ST德豪,信息技术,0.004019046253708864,0.015526891238139452,0.06486247653681118,0.4592647683692548,0.029303880514433108,0.027951499710300465,0.10954721892308243,0.010037857195349035,0.01592840893627232,0.005408114385555305,0.023317526198657502,0.8281043909060667,0.04649471074278368,0.004126137181681243,0.01748217492366236,0.0,0.0,0.0,0.0,2
14838,002005.SZ,*ST德豪,信息技术,0.008595720570464425,0.016958025097922828,0.06737979204408946,0.4874900186354891,0.02937568139240989,0.06390541229826667,0.08672419815173112,0.020760397161114642,0.02112051185740406,0.00589699648184331,0.02220671058520122,0.8369296610287617,0.03280123128016261,0.004066735347736804,0.017288369942991284,0.08406426478847456,0.01885902725131577,0.09019780897157816,0.0,2
14839,002005.SZ,*ST德豪,信息技术,0.008023578965510914,0.017248751172913537,0.07109301372983802,0.4964556172233197,0.029052549297037978,0.06856843034053108,0.09185200233552965,0.020242175347039766,0.01994212819237332,0.005104331457805017,0.023459894580003738,0.8395862600511951,0.030834366570761662,0.004066735347736804,0.01789123329452268,0.3334237337251918,0.08298936467103137,0.353232214805372,0.0,2
14840,002005.SZ,*ST德豪,信息技术,0.006173927321309421,0.019778151286880333,0.07327280569984035,0.49633235681482624,0.03005761156760541,0.07253346968605143,0.08935407643405825,0.020931614098975523,0.022768633666383663,0.0061635896337223686,0.0234287469317598,0.8395436494203355,0.03378365899322957,0.004169336979290827,0.01791275946996025,0.11103131238874395,0.028196891830651914,0.0,0.12225575005099808,2
14841,002008.SZ,大族激光,信息技术,0.009171665850120424,0.06888950321864147,0.12030798342622777,0.5017354794962608,0.1571306201237787,0.04086445848648739,0.08359397908996738,0.02108280177330584,0.03728467507514312,0.00526563504872853,0.0234051286604766,0.8403922609450627,0.07731446842268161,0.018745367145204264,0.0950913829596947,0.5849625007211562,0.21967803663941196,0.5440545571409501,0.03873239448871455,2
14842,002008.SZ,大族激光,信息技术,0.009188688046525017,0.0654062927990105,0.0996044207831064,0.5116450060248716,0.15653906881054072,0.027992701823770887,0.08814333405836539,0.027697292267738646,0.03611942580665181,0.005420082009242538,0.02342705919310271,0.8412616540298806,0.058129411226186936,0.01863845095160654,0.08077812308528279,0.13750352374993502,0.1783372412585124,0.0,0.0,2
14843,002008.SZ,大族激光,信息技术,0.005956071528422623,0.056187286785736194,0.08195918727121379,0.5115170929760529,0.1334109205127921,0.026724136601769786,0.07809969995860823,0.028066826271506626,0.032384290928351156,0.009444117916370186,0.023470085662987326,0.8411675697517343,0.060059438324586524,0.017130088525745144,0.06442596038905686,0.056583528366367514,0.07400058144377678,0.0,0.0,2
14844,002008.SZ,大族激光,信息技术,0.0064447925235330055,0.038912707099050176,0.09328126632996446,0.5029770900452711,0.10681313726970627,0.015717600584046733,0.07511152194790889,0.028234966100570358,0.02840508572943592,0.00707977035395631,0.02342713777207184,0.8407239469213328,0.04941219412507791,0.016616243424980602,0.04969836207861648,0.014355292977070054,0.01885902725131577,0.0,0.0,2
14845,002008.SZ,大族激光,信息技术,0.0015326072451262978,0.028542787547952378,0.08520314390905494,0.5029054857913409,0.08269418228292388,0.01989093480986124,0.05687215813425865,0.02127398702742447,0.04634146241928529,0.005703856568856926,0.023428186630076352,0.8410062681416505,0.04454643895326193,0.014944981764213374,0.039470635861985695,0.0,0.0,0.0,0.0,2
14846,002017.SZ,东信和平,信息技术,4.332821853164974e-05,0.006900977736686265,0.09649989272829929,0.4965618459388245,0.018854744879795552,0.00623393837607767,0.0517490386318795,0.025090164149723797,0.06542896303253082,0.00574089129915874,0.02342571651701207,0.8399091628721022,0.07540740265802257,0.015657647371133808,0.012694036292088335,0.35614381022527536,0.32950131459216314,0.10757988719981464,0.04825516860722115,1
14847,002017.SZ,东信和平,信息技术,2.478504979783289e-05,0.007364907906593696,0.10504795530592642,0.4965547398396989,0.02257466205751142,0.007018145833287189,0.06586690977904555,0.021471814861308107,0.04842344071182215,0.005503852595459721,0.023428053387570896,0.8398867414001173,0.1406988629097418,0.017119385285969894,0.013449979007446097,0.28688114778816154,0.2834539470727266,0.09891502607268729,0.0,1
14848,002017.SZ,东信和平,信息技术,2.8251697199139243e-05,0.007995504045618286,0.11025874171760723,0.49654211563061895,0.022646798612984822,0.006554087734399518,0.06316139507758058,0.019541278967482176,0.047961038451168295,0.0045125405302823786,0.023407277655583897,0.8398620773784551,0.10375202835198427,0.015443348865295506,0.013385199435908015,0.32192809488736235,0.27563444261342734,0.14172810961166035,0.019496175625797196,1
